артикул,файл,дата,мин. % наценки,название,цена на сайте,цена закупки,рекомендованная цена,минимальная цена конкурента,код поставщика,220 вольт,все инструменты,кувалда
,dewalt,20190702 12-10-47,5,,,,2660,2660,DCB181-XJ,,,2660
42961,dewalt,20190702 12-10-47,6,Аккумулятор DeWalt DCB 183,3340,2640,161040,3340,DCB183-XJ,,3340,3340
42962,dewalt,20190702 12-10-47,8,Аккумулятор DeWalt DCB 184,5580,4406,356886,5580,DCB184-XJ,,5580,5580
42965,dewalt,20190702 12-10-47,5,Аккумулятор DeWalt DCB 546,10090,7813,10090,,DCB546-XJ,,,
